iter	Passed	Remaining
0	145	144872
1	145	72724
2	146	48649
3	146	36600
4	147	29373
5	148	24559
6	148	21113
7	149	18536
8	150	16527
9	150	14919
10	151	13602
11	151	12512
12	152	11585
13	153	10792
14	153	10104
15	154	9503
16	155	8972
17	155	8498
18	156	8075
19	157	7695
20	157	7358
21	158	7059
22	159	6781
23	160	6518
24	160	6276
25	161	6052
26	162	5849
27	163	5661
28	163	5481
29	164	5313
30	164	5157
31	165	5009
32	166	4871
33	166	4740
34	167	4616
35	168	4500
36	168	4390
37	169	4286
38	169	4187
39	170	4092
40	171	4003
41	171	3918
42	172	3837
43	173	3759
44	174	3701
45	175	3634
46	175	3566
47	176	3500
48	177	3438
49	177	3377
50	178	3319
51	178	3262
52	179	3208
53	180	3156
54	180	3106
55	181	3057
56	182	3011
57	182	2966
58	183	2922
59	183	2880
60	184	2838
61	185	2799
62	185	2760
63	186	2722
64	186	2686
65	187	2651
66	188	2621
67	189	2594
68	190	2564
69	190	2533
70	191	2502
71	191	2472
72	192	2444
73	193	2416
74	193	2388
75	194	2361
76	194	2335
77	195	2310
78	196	2285
79	196	2261
80	197	2237
81	197	2214
82	198	2189
83	198	2168
84	199	2146
85	199	2125
86	200	2104
87	201	2084
88	201	2065
89	202	2046
90	202	2027
91	203	2012
92	204	1997
93	205	1980
94	206	1963
95	206	1946
96	207	1929
97	207	1913
98	208	1897
99	209	1881
100	209	1866
101	210	1851
102	210	1836
103	211	1821
104	212	1807
105	212	1793
106	213	1779
107	213	1766
108	214	1752
109	215	1739
110	215	1727
111	216	1714
112	216	1701
113	217	1689
114	217	1677
115	219	1670
116	219	1660
117	220	1649
118	221	1638
119	221	1627
120	222	1616
121	223	1605
122	223	1594
123	224	1584
124	224	1574
125	225	1564
126	225	1553
127	226	1543
128	227	1534
129	227	1524
130	228	1514
131	228	1505
132	229	1496
133	230	1487
134	230	1478
135	231	1469
136	231	1461
137	232	1452
138	233	1445
139	234	1441
140	235	1434
141	235	1424
142	236	1417
143	237	1409
144	237	1402
145	238	1397
146	239	1389
147	240	1382
148	240	1374
149	241	1367
150	241	1360
151	242	1353
152	243	1346
153	243	1338
154	244	1332
155	245	1325
156	245	1318
157	246	1311
158	246	1305
159	247	1299
160	247	1291
161	248	1285
162	249	1280
163	249	1274
164	250	1268
165	251	1262
166	251	1256
167	252	1250
168	253	1244
169	253	1238
170	254	1232
171	254	1226
172	255	1221
173	256	1216
174	256	1210
175	257	1205
176	258	1199
177	258	1194
178	259	1189
179	259	1183
180	260	1178
181	261	1174
182	261	1169
183	262	1164
184	263	1159
185	264	1155
186	264	1150
187	265	1145
188	265	1140
189	266	1136
190	267	1131
191	267	1126
192	268	1121
193	268	1117
194	269	1112
195	270	1108
196	270	1103
197	271	1098
198	271	1094
199	272	1089
200	273	1085
201	273	1080
202	274	1076
203	274	1072
204	276	1071
205	276	1067
206	277	1062
207	278	1059
208	278	1055
209	279	1051
210	280	1047
211	280	1043
212	281	1039
213	281	1035
214	282	1031
215	283	1027
216	283	1023
217	284	1019
218	284	1015
219	285	1011
220	286	1008
221	286	1004
222	287	1000
223	287	996
224	288	993
225	288	989
226	289	986
