iter	Passed	Remaining
0	0	906
1	1	802
2	2	741
3	2	703
4	3	685
5	4	669
6	4	659
7	5	652
8	5	648
9	6	656
10	7	692
11	8	687
12	8	680
13	9	674
14	10	669
15	10	663
16	11	657
17	11	652
18	12	649
19	13	646
20	13	644
21	14	641
22	15	658
23	16	656
24	16	652
25	17	650
26	17	645
27	18	643
28	19	641
29	19	640
30	20	638
31	21	635
32	22	651
33	23	658
34	23	659
35	24	658
36	25	656
37	26	660
38	26	659
39	27	659
40	28	658
41	28	656
42	29	655
43	30	654
44	30	653
45	31	652
46	32	650
47	32	649
48	33	649
49	34	647
50	34	646
51	35	645
52	36	645
53	37	651
54	37	652
55	38	651
56	39	651
57	40	650
58	40	649
59	41	648
60	42	648
61	42	646
62	43	645
63	44	644
64	44	643
65	45	642
66	46	641
67	46	641
68	47	640
69	48	638
70	48	637
71	49	636
72	50	635
73	50	634
74	52	643
75	52	643
76	53	642
77	54	641
78	54	640
79	55	638
80	56	637
81	56	636
82	57	632
83	57	632
84	58	631
85	59	630
86	59	629
87	60	628
88	61	627
89	61	626
90	62	625
91	63	624
92	63	623
93	64	622
94	65	621
95	66	627
96	67	627
97	67	625
98	68	624
99	69	624
100	70	623
101	70	622
102	71	621
103	72	620
104	72	619
105	73	619
106	74	619
107	74	617
108	75	616
109	76	615
110	76	614
111	77	614
112	78	612
113	78	612
114	79	612
115	80	611
116	80	610
117	81	612
118	82	611
119	83	610
120	83	609
121	84	608
122	85	607
123	85	606
124	86	605
125	87	604
126	87	602
127	88	601
128	88	600
129	89	599
130	90	598
131	90	597
132	91	595
133	92	594
134	92	594
135	93	593
136	94	592
137	94	591
138	95	590
139	96	594
140	97	593
141	97	591
142	98	590
143	99	589
144	99	588
145	100	588
146	101	587
147	101	585
148	102	584
149	103	583
150	103	582
151	104	582
152	104	581
153	105	580
154	106	579
155	106	578
156	107	577
157	108	576
158	108	575
159	109	574
160	109	573
161	111	575
162	112	575
163	112	574
164	113	573
165	114	573
166	114	573
167	115	572
168	116	571
169	116	570
170	117	569
171	117	567
172	118	566
173	119	565
174	119	564
175	120	563
176	120	562
177	121	561
178	122	560
179	122	559
180	123	558
181	124	557
182	124	556
183	125	556
184	126	557
185	127	556
186	127	555
187	128	554
188	129	553
189	129	552
190	130	551
191	130	550
192	131	549
193	132	548
194	132	547
195	133	546
196	133	545
197	134	544
198	134	543
199	135	542
200	136	541
201	136	540
202	137	539
203	137	538
204	138	537
205	139	536
206	139	535
207	140	536
208	141	535
209	142	534
210	142	533
211	143	532
212	143	531
213	144	530
214	145	529
215	145	528
216	146	527
217	146	526
218	147	525
219	147	524
220	148	523
221	149	522
222	149	521
223	150	520
224	150	519
225	151	518
226	152	517
227	152	516
228	153	515
229	153	515
230	154	514
231	155	515
232	156	515
233	157	514
234	157	513
235	158	512
236	158	511
237	159	510
238	160	509
239	160	508
240	161	508
241	161	507
242	162	506
243	163	505
244	163	504
245	164	503
246	164	502
247	165	501
248	165	500
249	166	499
250	167	498
251	167	498
252	168	497
253	168	496
254	169	495
255	170	494
256	171	495
257	171	494
258	172	493
259	173	492
260	173	491
261	174	490
262	174	490
263	175	489
264	176	488
265	176	487
266	177	486
267	177	486
268	178	485
269	179	484
270	179	483
271	180	482
272	180	481
273	181	482
274	182	482
275	183	482
276	184	481
277	184	480
278	186	480
279	186	479
280	187	479
281	187	478
282	188	477
283	189	476
284	189	475
285	190	474
286	190	473
287	191	473
288	191	472
289	192	471
290	193	470
291	193	469
292	194	469
293	195	469
294	196	470
295	197	470
296	198	470
297	199	470
298	201	471
299	202	471
300	202	471
301	203	470
302	204	469
303	204	469
304	205	468
305	206	467
306	206	466
307	207	466
308	208	465
309	208	464
310	209	463
311	209	462
312	210	462
313	211	461
314	211	460
315	212	459
316	212	458
317	213	458
318	214	457
319	215	457
320	216	457
321	216	456
322	217	455
323	218	455
324	218	454
325	219	453
326	219	452
327	220	451
328	221	451
329	221	450
330	222	449
331	223	448
332	223	447
333	224	447
334	224	446
335	225	445
336	226	444
337	226	444
338	227	443
339	227	442
340	228	442
341	230	443
342	231	443
343	232	442
344	232	442
345	233	441
346	234	441
347	235	440
348	235	439
349	236	438
350	236	437
351	237	437
352	238	436
353	238	435
354	239	434
355	239	433
356	240	433
357	241	432
358	241	431
359	242	430
360	242	429
361	243	429
362	244	428
363	245	428
364	246	428
365	247	428
366	248	427
367	248	427
368	249	426
369	250	426
370	251	426
371	252	425
372	252	424
373	253	423
374	253	423
375	254	422
376	255	421
377	255	420
378	256	420
379	257	419
380	257	418
381	258	417
382	258	417
383	260	417
384	261	417
385	262	417
386	263	416
387	263	416
388	264	415
389	265	414
390	266	415
391	267	414
392	267	413
393	268	412
394	269	412
395	269	411
396	270	410
397	270	409
398	271	408
399	272	408
400	272	407
401	273	406
402	273	405
403	275	405
404	276	405
405	277	405
406	277	404
407	278	404
408	279	403
409	279	402
410	281	403
411	282	402
412	282	401
413	283	400
414	283	400
415	284	399
416	284	398
417	285	397
418	286	396
419	286	396
420	287	395
421	287	394
422	288	393
423	289	393
424	290	393
425	291	393
426	292	392
427	293	392
428	294	391
429	294	391
430	295	390
431	296	389
432	297	389
433	298	389
434	299	388
435	299	387
436	300	386
437	300	386
438	301	385
439	302	384
440	302	383
441	303	382
442	303	382
443	307	385
444	308	385
445	309	385
446	311	384
447	311	384
448	313	384
449	314	384
450	314	383
451	315	382
452	316	381
453	316	380
454	317	379
455	317	379
456	318	378
457	319	377
458	320	377
459	321	377
460	322	377
461	323	376
462	324	375
463	324	375
464	325	374
465	326	374
466	327	373
467	327	372
468	328	371
469	328	370
470	329	370
471	330	369
472	330	368
473	331	367
474	332	367
475	332	366
476	333	365
477	334	365
478	335	364
479	336	364
480	337	364
481	338	363
482	338	362
483	339	361
484	340	361
485	340	360
486	341	359
487	341	358
488	342	357
489	343	357
490	343	356
491	344	355
492	344	354
493	345	353
494	346	353
495	346	352
496	347	351
497	347	350
498	348	349
499	349	349
500	350	349
501	351	348
502	352	348
503	353	347
504	353	346
505	354	346
506	355	345
507	356	344
508	356	343
509	357	343
510	357	342
511	358	341
512	359	340
513	359	340
514	360	339
515	361	338
516	361	337
517	362	337
518	362	336
519	363	335
520	364	335
